91,85,1520,45,4wDrm,r1b2rk1/pp3p1p/3p1np1/1q1p4/3P1B2/4P3/PP1Q1PPP/R3K1NR w KQ - 0 13,f4d6 f6e4 d2b4 e4d6,advantage fork middlegame short,https://lichess.org/TLpE4E6w#25,Rapport-Jobava_System
79,100,704,118,G2EWR,2r3k1/1p5p/2q1pQp1/3p4/p2P4/bP6/P2R1P1P/1K4R1 w - - 0 29,d2e2 c6c1 g1c1 c8c1,endgame mate mateIn2 queensideAttack sacrifice short,https://lichess.org/J41KJSvT#57,
78,90,2179,1332,FMTds,1kr3n1/pp3p2/3p4/4p1Q1/1B2P2p/P2P4/1P3P1q/1K1R4 b - - 3 24,h2f2 b4d6 b8a8 d1c1,crushing endgame short,https://lichess.org/wR8myYBm/black#48,
74,84,1215,210,F6kCO,rnbqkb1r/pp2pppp/8/2pn4/5P2/2N2N2/PP1PP1PP/R1BQKB1R b KQkq - 1 5,d5f4 d1a4 b8c6 a4f4,advantage fork opening short,https://lichess.org/6JQfZKTz/black#10,Bird_Opening
95,100,1318,34,E2WkY,r1bqkb1r/pppp1ppp/8/2n1P3/8/5Q2/PPPP2PP/RNB1KB1R w KQkq - 2 7,f1c4 d8h4 f3f2 h4c4,crushing fork opening short,https://lichess.org/EoGp49fL#13,Russian_Game
83,89,1059,44,FyoZk,7k/5Qp1/pr1q1nBp/1p6/1P6/3p2P1/5P1P/4R1K1 b - - 3 31,d3d2 e1e8 f6e8 f7e8 d6f8 e8f8,endgame long mate mateIn3 sacrifice,https://lichess.org/LlUWHrAJ/black#62,
75,86,1514,238,4RU83,r2qr3/pp2b1k1/5pp1/3p1p2/2PP4/4QN1P/PP1B1P2/R5K1 b - - 3 22,d5c4 e3h6 g7f7 h6h7 f7e6 a1e1,advantage long middlegame,https://lichess.org/yGpThxsO/black#44,
81,100,673,110,Dyw6g,4r1k1/5p1p/2p2Pr1/1p1p4/p4Q2/2q1P3/P5PP/4RRK1 b - - 3 28,e8e6 f4b8 e6e8 b8e8,endgame mate mateIn2 short,https://lichess.org/VkBhABio/black#56,
79,100,1185,66,Mg8aQ,r3kb1r/1ppq1ppp/1p1p4/3Nn3/8/2Q5/PP3PPP/RN2KR2 b Qkq - 1 15,e8c8 d5b6 c8b8 b6d7,crushing middlegame pin queensideAttack short,https://lichess.org/L987tUgY/black#30,Alekhine_Defense
158,100,1203,20,McEtL,8/p7/2P1k3/6p1/1PK4p/r1N4P/6P1/8 b - - 6 42,e6d6 c3b5 d6c6 b5a3,crushing endgame fork short,https://lichess.org/qQTSuuov/black#84,
